[2025-01-06 07:40:45,337] [INFO] [YouTubeDownloader] Script started. Prompting user for input.
[2025-01-06 07:40:53,134] [INFO] [YouTubeDownloader] Starting video download for URL: https://www.youtube.com/watch?v=_O_0_vnyv5U
[2025-01-06 07:40:53,134] [DEBUG] [YouTubeDownloader] Download path: D:\intplab\n8n\ui
[2025-01-06 07:40:53,218] [WARNING] [YouTubeDownloader] Deprecated Feature: Support for Python version 3.8 has been deprecated. Please update to Python 3.9 or above
[2025-01-06 07:40:53,218] [ERROR] [YouTubeDownloader] [0;31mDeprecated Feature:[0m Support for Python version 3.8 has been deprecated. Please update to Python 3.9 or above
[2025-01-06 07:40:53,328] [INFO] [YouTubeDownloader] Extracting video info, about to download...
[2025-01-06 07:40:53,375] [DEBUG] [YouTubeDownloader] [youtube] Extracting URL: https://www.youtube.com/watch?v=_O_0_vnyv5U
[2025-01-06 07:40:53,375] [DEBUG] [YouTubeDownloader] [youtube] _O_0_vnyv5U: Downloading webpage
[2025-01-06 07:40:54,012] [DEBUG] [YouTubeDownloader] [youtube] _O_0_vnyv5U: Downloading ios player API JSON
[2025-01-06 07:40:54,179] [DEBUG] [YouTubeDownloader] [youtube] _O_0_vnyv5U: Downloading mweb player API JSON
[2025-01-06 07:40:54,353] [DEBUG] [YouTubeDownloader] [youtube] _O_0_vnyv5U: Downloading player 03dbdfab
[2025-01-06 07:40:54,978] [WARNING] [YouTubeDownloader] [youtube] Falling back to generic n function search
         player = https://www.youtube.com/s/player/03dbdfab/player_ias.vflset/en_US/base.js
[2025-01-06 07:40:55,008] [WARNING] [YouTubeDownloader] [youtube] _O_0_vnyv5U: nsig extraction failed: Some formats may be missing
         n = afQVql4iIUV9L_0MU ; player = https://www.youtube.com/s/player/03dbdfab/player_ias.vflset/en_US/base.js
[2025-01-06 07:40:55,436] [WARNING] [YouTubeDownloader] [youtube] Falling back to generic n function search
         player = https://www.youtube.com/s/player/03dbdfab/player_ias.vflset/en_US/base.js
[2025-01-06 07:40:55,460] [WARNING] [YouTubeDownloader] [youtube] _O_0_vnyv5U: nsig extraction failed: Some formats may be missing
         n = oiyAV6BTEklK03W3W ; player = https://www.youtube.com/s/player/03dbdfab/player_ias.vflset/en_US/base.js
[2025-01-06 07:40:55,462] [DEBUG] [YouTubeDownloader] [youtube] _O_0_vnyv5U: Downloading m3u8 information
[2025-01-06 07:40:55,899] [DEBUG] [YouTubeDownloader] [info] _O_0_vnyv5U: Downloading 1 format(s): 247+251
[2025-01-06 07:40:56,299] [DEBUG] [YouTubeDownloader] [download] Destination: D:\intplab\n8n\ui\Позорище современного времени.f247.webm
[2025-01-06 07:40:56,300] [DEBUG] [YouTubeDownloader] [download] [0;94m  0.0%[0m of   33.98MiB at [0;32m 248.18KiB/s[0m ETA [0;33m02:20[0m
[2025-01-06 07:40:56,301] [DEBUG] [YouTubeDownloader] Downloading... [0;94m  0.0%[0m at [0;32m 248.18KiB/s[0m ETA: [0;33m02:20[0m
[2025-01-06 07:40:56,302] [DEBUG] [YouTubeDownloader] [download] [0;94m  0.0%[0m of   33.98MiB at [0;32m 497.37KiB/s[0m ETA [0;33m01:09[0m
